þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
;;PZA SEI FEBBRAIO N. 16 (z.d. 8);PZA;SEI FEBBRAIO;16;6358;8;;;;Genere Merceol.Autorizz.Sanit.;
;;PZA SEMPIONE N. 5 (z.d. 1);PZA;SEMPIONE;5;7111;1;;;;"Cibi cotti preconfezionati;BAR CAFFÿý;Tavola fredda";27
;;"PZA SEMPIONE num.002/a ; (z.d. 1)";PZA;SEMPIONE;;7111;1;;;;Genere Merceol.Autorizz.Sanit.;
;;PZA TIRANA N. 12 Int. angolo Via Gonin Francesco (z.d. 6);PZA;TIRANA;12;5378;6;;;;Genere Merceol.Autorizz.Sanit.;31
;;PZA VELASCA N. 4 (z.d. 1);PZA;VELASCA;4;335;1;;;;"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Ristorante, trattoria, osteria";432
;;PZA VENTICINQUE APRILE N. 7 (z.d. 9);PZA;VENTICINQUE APRILE;7;1064;9;;;;Bar pasticc.gelat.crem.creper.;23
;;PZA VENTIQUATTRO MAGGIO N. 10 (z.d. 5);PZA;VENTIQUATTRO MAGGIO;10;5200;5;;;;"Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Ristorante, trattoria, osteria";80
;;PZA VENTIQUATTRO MAGGIO N. 10 (z.d. 5);PZA;VENTIQUATTRO MAGGIO;10;5200;5;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";48
;;PZA VENTIQUATTRO MAGGIO N. 8 (z.d. 5);PZA;VENTIQUATTRO MAGGIO;8;5200;5;;;;Bar gastronomici e simili;45
;;PZA VENTIQUATTRO MAGGIO N. 8 (z.d. 5);PZA;VENTIQUATTRO MAGGIO;8;5200;5;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";156
;;PZA VESUVIO N. 14 (z.d. 7);PZA;VESUVIO;14;6110;7;;;;"Tavola fredda;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÿý";38
;;PZA VIGILI DEL FUOCO N. 7 (z.d. 3);PZA;VIGILI DEL FUOCO;7;2710;3;;;;"BAR CAFFÿý;Gelateria;Bar pasticc.gelat.crem.creper.";35
;;RIP DI PTA TICINESE N. 17 (z.d. 6);RIP;DI PTA TICINESE;17;5150;6;;;;Wine,birr.,pub enot.,caff.,the;16
;;RIP DI PTA TICINESE N. 27 (z.d. 6);RIP;DI PTA TICINESE;27;5150;6;;;;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Trattoria;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";38
;;RIP DI PTA TICINESE N. 37 (z.d. 6);RIP;DI PTA TICINESE;37;5150;6;;;;Ristorante, trattoria, osteria;38
;;RIP DI PTA TICINESE N. 49 (z.d. 6);RIP;DI PTA TICINESE;49;5150;6;;;;Genere Merceol.Autorizz.Sanit.;18
;;RIP DI PTA TICINESE N. 53 (z.d. 6);RIP;DI PTA TICINESE;53;5150;6;;;;Genere Merceol.Autorizz.Sanit.;77
;;RIP DI PTA TICINESE N. 61 (z.d. 6);RIP;DI PTA TICINESE;61;5150;6;;;;Wine,birr.,pub enot.,caff.,the;57
;;RIP DI PTA TICINESE N. 79 (z.d. 6);RIP;DI PTA TICINESE;79;5150;6;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";180
;;RIP DI PTA TICINESE N. 79 (z.d. 6);RIP;DI PTA TICINESE;79;5150;6;;;;Pizzerie e simili;317
;;"RIP DI PTA TICINESE N. 9 ; isolato:074; (z.d. 6)";RIP;DI PTA TICINESE;9;5150;6;;;;"BAR CAFFÿý;Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";62
;;VIA ABBAZIA N. 4 (z.d. 2);VIA;ABBAZIA;4;1310;2;;;;Genere Merceol.Autorizz.Sanit.;32
;;VIA ADIGE N. 17 (z.d. 5);VIA;ADIGE;17;4216;5;;;;Ristorante, trattoria, osteria;87
;;VIA ADIGE N. 23 (z.d. 5);VIA;ADIGE;23;4216;5;;;;Ristorante, trattoria, osteria;90
;;VIA ADRIANO PUBLIO ELIO N. 110 (z.d. 2);VIA;ADRIANO PUBLIO ELIO;110;2410;2;;;;"Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI;BAR CAFFÿý";149
;;VIA ADRIANO PUBLIO ELIO N. 94 (z.d. 2);VIA;ADRIANO PUBLIO ELIO;94;2410;2;;;;Wine,birr.,pub enot.,caff.,the;67
;;VIA AGNELLO N. 17 (z.d. 1);VIA;AGNELLO;17;209;1;;;;"Pizzeria;BAR CAFFÿý;Ristorante, trattoria, osteria;Ristorante;Pizzerie e simili";91
;;VIA AGNELLO N. 19 (z.d. 1);VIA;AGNELLO;19;209;1;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";40
;;VIA AGNELLO N. 8 (z.d. 1);VIA;AGNELLO;8;209;1;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";177
;;VIA AGNELLO N. 8 (z.d. 1);VIA;AGNELLO;8;209;1;;;;"Ristorante;Pizzerie e simili;BAR CAFFÿý;Ristorante, trattoria, osteria;Pizzeria";218
;;VIA AGORDAT N. 25 (z.d. 2);VIA;AGORDAT;25;2362;2;;;;Genere Merceol.Autorizz.Sanit.;100
;;VIA AJACCIO N. 15 (z.d. 3);VIA;AJACCIO;15;3246;3;;;;"BAR CAFFÿý;Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.";26
;;VIA AJACCIO N. 9 (z.d. 3);VIA;AJACCIO;9;3246;3;;;;"BAR CAFFÿý E SIMILI;Ristorante;BAR CAFFÿý;Ristorante, trattoria, osteria";88
;;VIA ALBANI FRANCESCO N. 71 (z.d. 8);VIA;ALBANI FRANCESCO;71;6399;8;;;;Genere Merceol.Autorizz.Sanit.;40
;;VIA ALBERTI LEON BATTISTA N. 10 (z.d. 8);VIA;ALBERTI LEON BATTISTA;10;7167;8;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Wine,birr.,pub enot.,caff.,the";111
;;VIA ALBERTINELLI MARIOTTO N. 9 (z.d. 7);VIA;ALBERTINELLI MARIOTTO;9;6561;7;;;;"Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý";87
;;VIA ALBRICCI ALBERICO N. 2 (z.d. 1);VIA;ALBRICCI ALBERICO;2;337;1;;;;Bar gastronomici e simili;52
;;VIA ALEARDI ALEARDO N. 2 (z.d. 8);VIA;ALEARDI ALEARDO;2;7209;8;;;;Bar gastronomici e simili;70
;;VIA ALSERIO N. 19 (z.d. 9);VIA;ALSERIO;19;1153;9;;;;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÿý";52
;;VIA ALSERIO N. 22 (z.d. 9);VIA;ALSERIO;22;1153;9;;;;"Ristorante, trattoria, osteria;Ristorante";127
;;VIA ALSERIO N. 3 (z.d. 9);VIA;ALSERIO;3;1153;9;;;;"Bar gastronomici e simili;Disco-piano-americ.bar serali;BAR CAFFÿý E SIMILI";89
;;VIA ALSERIO N. 3 (z.d. 9);VIA;ALSERIO;3;1153;9;;;;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;Cibi cotti preconfezionati;BAR CAFFÿý";48
;;VIA ALSERIO N. 9 (z.d. 9);VIA;ALSERIO;9;1153;9;;;;"Pizzeria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Ristorante;BAR CAFFÿý";274
;;VIA AMEDEO D'AOSTA N. 3 (z.d. 3);VIA;AMEDEO D'AOSTA;3;2095;3;;;;Bar gastronomici e simili;50
;;VIA AMORETTI CARLO N. 94 (z.d. 9);VIA;AMORETTI CARLO;94;7340;9;;;;;113
;;VIA AMPERE ANDREA MARIA N. 123 (z.d. 3);VIA;AMPERE ANDREA MARIA;123;2428;3;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý E SIMILI";25
;;VIA ANDREOLI DON GIUSEPPE N. 20 (z.d. 9);VIA;ANDREOLI DON GIUSEPPE;20;1467;9;;;;BAR CAFFÿý;
;;VIA ANDREOLI DON GIUSEPPE N. 23 (z.d. 9);VIA;ANDREOLI DON GIUSEPPE;23;1467;9;;;;;20
;;VIA ANDREOLI DON GIUSEPPE N. 27 (z.d. 9);VIA;ANDREOLI DON GIUSEPPE;27;1467;9;;;;"BAR CAFFÿý;Bar pasticc.gelat.crem.creper.;Ristorante;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";69
;;VIA ANFOSSI AUGUSTO N. 2 (z.d. 4);VIA;ANFOSSI AUGUSTO;2;3071;4;;;;"Bar gastronomici e simili;Ristorante, trattoria, osteria";57
;;VIA ANFOSSI AUGUSTO N. 5 (z.d. 4);VIA;ANFOSSI AUGUSTO;5;3071;4;;;;"Tavola fredda;BAR CAFFÿý E SIMILI;BAR CAFFÿý";26
;;VIA ANGELO DELLA PERGOLA N. 7 (z.d. 9);VIA;ANGELO DELLA PERGOLA;7;1137;9;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Wine,birr.,pub enot.,caff.,the";32
;;VIA ANGUISSOLA SOFONISBA N. 31 (z.d. 7);VIA;ANGUISSOLA SOFONISBA;31;6609;7;;;;Genere Merceol.Autorizz.Sanit.;60
;;VIA ANSELMO DA BAGGIO N. 63 (z.d. 7);VIA;ANSELMO DA BAGGIO;63;6782;7;;;;Genere Merceol.Autorizz.Sanit.;
;;"VIA APPENNINI num.077/a /a; (z.d. 8)";VIA;APPENNINI;;7514;8;;;;Pizzerie e simili;22
;;VIA APPIANI ANDREA N. 11 (z.d. 1);VIA;APPIANI ANDREA;11;1050;1;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Wine,birr.,pub enot.,caff.,the;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý;Tavola fredda;Bar gastronomici e simili;Cibi cotti preconfezionati";32
;;VIA APPIANI ANDREA N. 15 (z.d. 1);VIA;APPIANI ANDREA;15;1050;1;;;;"BAR CAFFÿý;Tavola fredda;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.";31
;;VIA ARBE N. 47 (z.d. 2);VIA;ARBE;47;1352;2;;;;"BAR CAFFÿý E SIMILI;Tavola fredda;BAR CAFFÿý";21
;;VIA ARCO N. 1 (z.d. 1);VIA;ARCO;1;714;1;;;;"Tav.calde,self service,fast f.;BAR CAFFÿý E SIMILI";59
;;VIA ARCONATI COSTANZA N. 9 (z.d. 4);VIA;ARCONATI COSTANZA;9;3211;4;;;;"Pizzerie e simili;Tav.calde,self service,fast f.";34
;;"VIA ARESE FRANCESCO N. 20 ; isolato:211; (z.d. 9)";VIA;ARESE FRANCESCO;20;1186;9;;;;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÿý";69
;;VIA ARIBERTO DA INTIMIANO N. 17 (z.d. 1);VIA;ARIBERTO DA INTIMIANO;17;5092;1;;;;"Tavola calda;Ristorante, trattoria, osteria";42
;;VIA ARIBERTO DA INTIMIANO N. 3 (z.d. 1);VIA;ARIBERTO DA INTIMIANO;3;5092;1;;;;Genere Merceol.Autorizz.Sanit.;28
;;VIA ARIMONDI GIUSEPPE N. 11 (z.d. 8);VIA;ARIMONDI GIUSEPPE;11;7179;8;;;;"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Ristorante, trattoria, osteria";89
;;VIA ARNALDO DA BRESCIA N. 3 (z.d. 9);VIA;ARNALDO DA BRESCIA;3;1151;9;;;;Wine,birr.,pub enot.,caff.,the;51
;;VIA ARSIA N. 7 (z.d. 8);VIA;ARSIA;7;7472;8;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI";44
;;VIA ASIAGO N. 59 (z.d. 2);VIA;ASIAGO;59;2459;2;;;;BAR CAFFÿý E SIMILI;103
;;VIA ASIAGO N. 59 (z.d. 2);VIA;ASIAGO;59;2459;2;;;;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati;Bar gastronomici e simili";103
;;VIA ASIAGO N. 68 (z.d. 2);VIA;ASIAGO;68;2459;2;;;;;117
;;VIA ASTESANI ALESSANDRO N. 29 (z.d. 9);VIA;ASTESANI ALESSANDRO;29;1558;9;;;;BAR CAFFÿý E SIMILI;114
;;VIA ASTESANI ALESSANDRO N. 2 (z.d. 9);VIA;ASTESANI ALESSANDRO;2;1558;9;;;;Genere Merceol.Autorizz.Sanit.;18
;;VIA ASTESANI ALESSANDRO N. 41 (z.d. 9);VIA;ASTESANI ALESSANDRO;41;1558;9;;;;"Tavola fredda;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";72
;;VIA BAGAROTTI MAFFEO N. 40 (z.d. 7);VIA;BAGAROTTI MAFFEO;40;6585;7;;;;Genere Merceol.Autorizz.Sanit.;55
;;VIA BANDELLO MATTEO N. 14 (z.d. 1);VIA;BANDELLO MATTEO;14;6214;1;;;;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Tavola fredda;Ristorante;BAR CAFFÿý";57
;;VIA BANFI ANTONIO N. 2 (z.d. 1);VIA;BANFI ANTONIO;2;5404;1;;;;"BAR CAFFÿý;Cibi cotti preconfezionati;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";83
;;"VIA BARACCHINI FLAVIO N. 9 con 2ÿý ingresso via larga; (z.d. 1)";VIA;BARACCHINI FLAVIO;9;356;1;;;;"Ristorante, trattoria, osteria;Ristorante";152
;;VIA BARONI COSTANTINO N. 11 (z.d. 5);VIA;BARONI COSTANTINO;11;5422;5;;;;"Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";56
;;VIA BARRILI  ANTON GIULIO N. 24 (z.d. 5);VIA;BARRILI  ANTON GIULIO;24;5324;5;;;;Bar pasticc.gelat.crem.creper.;36
;;"VIA BARTOLINI LORENZO N. 29 angolo viale monteceneri; (z.d. 8)";VIA;BARTOLINI LORENZO;29;7178;8;;;;Ristorante, trattoria, osteria;34
;;VIA BASSINI EDOARDO N. 47 (z.d. 3);VIA;BASSINI EDOARDO;47;2587;3;;;;"Pizzerie e simili;Pizzeria";14
;;VIA BASSINI EDOARDO N. 51 (z.d. 3);VIA;BASSINI EDOARDO;51;2587;3;;;;"BAR CAFFÿý;Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý E SIMILI";35
;;VIA BASSI UGO N. 30 (z.d. 9);VIA;BASSI UGO;30;1143;9;;;;"BAR CAFFÿý;Tavola fredda;Wine,birr.,pub enot.,caff.,the";15
;;VIA BAZZINI ANTONIO N. 2 (z.d. 3);VIA;BAZZINI ANTONIO;2;2427;3;;;;"BAR CAFFÿý;Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.;Tavola calda";21
;;VIA BAZZINI ANTONIO N. 34 (z.d. 3);VIA;BAZZINI ANTONIO;34;2427;3;;;;Bar gastronomici e simili;41
;;VIA BEATO ANGELICO N. 25 (z.d. 3);VIA;BEATO ANGELICO;25;3204;3;;;;"Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI;Bar gastronomici e simili";47
;;VIA BELLEZZA GIOVANNI N. 12 (z.d. 5);VIA;BELLEZZA GIOVANNI;12;4067;5;;;;Bar gastronomici e simili;33
;;VIA BENACO N. 26 (z.d. 5);VIA;BENACO;26;4143;5;;;;"Pizzeria;BAR CAFFÿý;Pizzerie e simili;BAR CAFFÿý E SIMILI";32
;;VIA BENEFATTORI DELL'OSPEDALE N. 1 (z.d. 9);VIA;BENEFATTORI DELL'OSPEDALE;1;1522;9;;;;BAR CAFFÿý E SIMILI;49
;;VIA BENGASI N. 7 (z.d. 1);VIA;BENGASI;7;2375;2;;;;BAR CAFFÿý E SIMILI;59
;;VIA BERGAMO N. 3 (z.d. 4);VIA;BERGAMO;3;3189;4;;;;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Ristorante";17
;;VIA BERTANI AGOSTINO N. 16 (z.d. 1);VIA;BERTANI AGOSTINO;16;7112;1;;;;"Bar gastronomici e simili;Disco-piano-americ.bar serali;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Wine,birr.,pub enot.,caff.,the;Ristorante";38
;;VIA BERTANI AGOSTINO N. 2 (z.d. 1);VIA;BERTANI AGOSTINO;2;7112;1;;;;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;Cibi cotti preconfezionati";55
;;VIA BERTANI AGOSTINO N. 2 (z.d. 1);VIA;BERTANI AGOSTINO;2;7112;1;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";111
;;VIA BERTINI GIOVANNI BATTISTA N. 2 (z.d. 8);VIA;BERTINI GIOVANNI BATTISTA;2;7207;8;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý;Cibi cotti preconfezionati;Ristorante";122
;;VIA BERUTO CESARE N. 13 (z.d. 3);VIA;BERUTO CESARE;13;2586;3;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";60
;;VIA BERUTO CESARE N. 13 (z.d. 3);VIA;BERUTO CESARE;13;2586;3;;;;Genere Merceol.Autorizz.Sanit.;68
;;VIA BESSARIONE N. 46 (z.d. 4);VIA;BESSARIONE;46;4152;4;;;;"Ristorante, trattoria, osteria;Pizzerie e simili;BAR CAFFÿý E SIMILI";26
;;VIA BESSARIONE N. 5 (z.d. 4);VIA;BESSARIONE;5;4152;4;;;;Ristorante, trattoria, osteria;89
;;VIA BINDA AMBROGIO N. 16 (z.d. 6);VIA;BINDA AMBROGIO;16;5298;6;;;;"Bar gastronomici e simili;Cibi cotti preconfezionati;BAR CAFFÿý;Tavola fredda;BAR CAFFÿý E SIMILI";37
;;"VIA BISCEGLIE N. 92 int. cortile - con ingr.in via; (z.d. 6)";VIA;BISCEGLIE;92;6707;6;;;;"Genere Merceol.Autorizz.Sanit.;Tav.calde,self service,fast f.;BAR CAFFÿý E SIMILI;Bar pasticc.gelat.crem.creper.;Ristorante, trattoria, osteria;Ristorante;BAR CAFFÿý";179
;;VIA BIXIO NINO N. 11 (z.d. 3);VIA;BIXIO NINO;11;3133;3;;;;"BAR CAFFÿý;Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÿý E SIMILI";50
;;VIA BIXIO NINO N. 1 (z.d. 3);VIA;BIXIO NINO;1;3133;3;;;;BAR CAFFÿý E SIMILI;24
;;VIA BIZZONI ACHILLE N. 7 (z.d. 2);VIA;BIZZONI ACHILLE;7;1359;2;;;;"Pizzerie e simili;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzeria;Ristorante";34
;;VIA BOBBIO N. 2 (z.d. 6);VIA;BOBBIO;2;5107;6;;;;"BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.";88
;;VIA BOCCACCIO GIOVANNI N. 11 (z.d. 1);VIA;BOCCACCIO GIOVANNI;11;6158;1;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";47
;;VIA BOCCACCIO GIOVANNI N. 15 (z.d. 1);VIA;BOCCACCIO GIOVANNI;15;6158;1;;;;Tav.calde,self service,fast f.;38
;;"VIA BOCCACCIO GIOVANNI N. 4 con ing. piazza virgilio/via m; (z.d. 1)";VIA;BOCCACCIO GIOVANNI;4;6158;1;;;;Ristorante, trattoria, osteria;18
;;VIA BOIARDO MATTEO MARIA N. 11 (z.d. 2);VIA;BOIARDO MATTEO MARIA;11;2323;2;;;;"Pizzerie e simili;Bar gastronomici e simili";56
;;VIA BONCOMPAGNI CARLO N. 12 (z.d. 4);VIA;BONCOMPAGNI CARLO;12;4182;4;;;;"Spaccio bevande analcoliche;Prodotti di gastronomia";
;;VIA BONCOMPAGNI CARLO N. 94 (z.d. 4);VIA;BONCOMPAGNI CARLO;94;4182;4;;;;"BAR CAFFÿý;Tavola fredda;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Cucina tipica lombarda;Ristorante;Pizzeria";108
;;VIA BONFADINI ROMUALDO N. 116 (z.d. 4);VIA;BONFADINI ROMUALDO;116;3341;4;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";100
;;VIA BONO CAIROLI ADELAIDE N. 22 (z.d. 2);VIA;BONO CAIROLI ADELAIDE;22;2332;2;;;;Genere Merceol.Autorizz.Sanit.;85
;;VIA BONVESIN DE LA RIVA N. 9 (z.d. 4);VIA;BONVESIN DE LA RIVA;9;3087;4;;;;Ristorante, trattoria, osteria;115
;;VIA BORDIGHERA N. 15 (z.d. 5);VIA;BORDIGHERA;15;5265;5;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý";418
;;VIA BORGOMAINERIO LUIGI N. 2 (z.d. 3);VIA;BORGOMAINERIO LUIGI;2;2685;3;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili";45
;;VIA BORSIERI PIETRO N. 22 (z.d. 9);VIA;BORSIERI PIETRO;22;1128;9;;;;Genere Merceol.Autorizz.Sanit.;150
;;VIA BORSIERI PIETRO N. 28 (z.d. 9);VIA;BORSIERI PIETRO;28;1128;9;;;;Pizzerie e simili;20
;;VIA BOSCOVICH RUGGERO N. 31 (z.d. 2);VIA;BOSCOVICH RUGGERO;31;2131;2;;;;"Tav.calde,self service,fast f.;Bar gastronomici e simili";35
;;VIA BOSCOVICH RUGGERO N. 61 (z.d. 3);VIA;BOSCOVICH RUGGERO;61;2131;3;;;;BAR CAFFÿý E SIMILI;43
;;VIA BRAMANTE N. 22 (z.d. 1);VIA;BRAMANTE;22;7123;1;;;;Genere Merceol.Autorizz.Sanit.;90
;;VIA BRA' N. 2 (z.d. 3);VIA;BRA';2;2542;3;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý;Tavola fredda";30
;;VIA BREDA ERNESTO N. 122 (z.d. 2);VIA;BREDA ERNESTO;122;2342;2;;;;"Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý";55
;;VIA BREMBO N. 23 (z.d. 5);VIA;BREMBO;23;4219;5;;;;Ristorante;
;;VIA BRERA N. 29 (z.d. 1);VIA;BRERA;29;122;1;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda;Bar gastronomici e simili";18
;;VIA BRIOSCHI FRANCESCO N. 33 (z.d. 5);VIA;BRIOSCHI FRANCESCO;33;5243;5;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda;BAR CAFFÿý;Cibi cotti preconfezionati";60
;;VIA BRIOSCHI FRANCESCO N. 41 (z.d. 5);VIA;BRIOSCHI FRANCESCO;41;5243;5;;;;Genere Merceol.Autorizz.Sanit.;114
;;VIA BROFFERIO ANGELO N. 1 (z.d. 9);VIA;BROFFERIO ANGELO;1;1465;9;;;;BAR CAFFÿý E SIMILI;69
;;VIA BROGLIO EMILIO N. 19 (z.d. 9);VIA;BROGLIO EMILIO;19;1246;9;;;;Bar gastronomici e simili;33
;;VIA BROGLIO EMILIO N. 25 (z.d. 9);VIA;BROGLIO EMILIO;25;1246;9;;;;"BAR CAFFÿý;Tavola fredda;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria;Tavola calda";37
;;"VIA BROGLIO EMILIO N. 28 int.agenzia ippica bovisa snc.; (z.d. 9)";VIA;BROGLIO EMILIO;28;1246;9;;;;"Tavola fredda;BAR CAFFÿý";43
;;VIA BROLETTO N. 18 (z.d. 1);VIA;BROLETTO;18;720;1;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda;Prodotti di gastronomia;BAR CAFFÿý E SIMILI;Bar gastronomici e simili";60
;;"VIA BROLETTO N. 43 angolo via cusani 1; (z.d. 1)";VIA;BROLETTO;43;720;1;;;;"Tav.calde,self service,fast f.;BAR CAFFÿý E SIMILI;Bar pasticc.gelat.crem.creper.";89
;;VIA BRONZINO N. 21 (z.d. 3);VIA;BRONZINO;21;2191;3;;;;"Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;Tavola fredda;BAR CAFFÿý";34
;;VIA BRUNO CASSINARI N. 11 (z.d. 4);VIA;BRUNO CASSINARI;11;4386;4;;;;BAR CAFFÿý E SIMILI;37
;;VIA BRUSCHETTI GIUSEPPE N. 11 (z.d. 2);VIA;BRUSCHETTI GIUSEPPE;11;1285;2;;;;"Pizzerie e simili;Ristorante, trattoria, osteria";79
;;VIA BRUSUGLIO N. 66 (z.d. 9);VIA;BRUSUGLIO;66;1550;9;;;;Genere Merceol.Autorizz.Sanit.;68
;;"VIA BRUZZESI GIACINTO N. 25 interno 26; (z.d. 6)";VIA;BRUZZESI GIACINTO;25;5388;6;;;;Genere Merceol.Autorizz.Sanit.;24
;;VIA BUCCINASCO N. 45 (z.d. 6);VIA;BUCCINASCO;45;5362;6;;;;"Disco-piano-americ.bar serali;Pizzerie e simili;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";155
;;VIA BUGATTI ETTORE N. 1 (z.d. 5);VIA;BUGATTI ETTORE;1;4353;5;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Bar pasticc.gelat.crem.creper.";60
;;VIA BUONARROTI MICHELANGELO N. 11 (z.d. 7);VIA;BUONARROTI MICHELANGELO;11;6253;7;;;;Genere Merceol.Autorizz.Sanit.;
;;VIA BUONARROTI MICHELANGELO N. 15 (z.d. 7);VIA;BUONARROTI MICHELANGELO;15;6253;7;;;;"Tavola fredda;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý";21
;;VIA BURLAMACCHI FRANCESCO N. 16 (z.d. 4);VIA;BURLAMACCHI FRANCESCO;16;4077;4;;;;"Tav.calde,self service,fast f.;BAR CAFFÿý E SIMILI";51
;;VIA BUSONI FERRUCCIO N. 12 (z.d. 4);VIA;BUSONI FERRUCCIO;12;3222;4;;;;"BAR CAFFÿý E SIMILI;Pizzerie e simili";35
;;VIA CADIBONA N. 16 (z.d. 4);VIA;CADIBONA;16;3339;4;;;;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Tavola fredda;Cibi cotti preconfezionati;BAR CAFFÿý";51
;;VIA CADIBONA N. 1 (z.d. 4);VIA;CADIBONA;1;3339;4;;;;BAR CAFFÿý E SIMILI;104
;;VIA CADIBONA N. 1 (z.d. 4);VIA;CADIBONA;1;3339;4;;;;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Trattoria";17
;;VIA CADORE N. 37 (z.d. 4);VIA;CADORE;37;3077;4;;;;Ristorante, trattoria, osteria;18
